BATHRM	ROOMS
3	9
3	8
1	8
2	6
2	6
1	5
2	6
3	11
3	6
3	8
2	6
2	7
3	9
2	7
3	9
4	12
1	4
2	4
2	6
2	8
3	10
1	7
2	7
1	6
2	6
3	7
1	7
2	7
2	6
1	7
1	6
3	12
2	6
2	6
2	7
3	6
1	7
1	6
1	7
1	6
1	6
1	6
1	6
2	6
2	6
2	6
2	6
2	6
2	6
2	7
2	7
2	7
2	7
2	7
2	7
2	7
2	7
2	6
2	7
2	6
2	7
4	12
0	0
1	5
1	5
1	4
1	4
1	5
2	6
1	6
3	7
1	7
2	6
3	7
3	6
1	6
1	8
2	7
1	7
2	7
4	10
2	6
1	10
3	8
3	8
2	7
2	8
3	8
11	23
2	9
4	10
2	7
1	9
4	9
2	9
1	6
1	5
1	5
2	7
1	5
1	5
1	5
3	7
3	8
1	5
1	5
2	6
1	4
2	6
2	6
1	7
6	8
3	7
3	10
4	8
4	10
2	6
4	9
1	6
2	6
2	6
1	5
3	7
3	18
1	5
1	6
1	6
1	7
4	15
2	9
2	9
2	9
2	9
2	9
2	9
2	9
3	12
3	10
3	10
2	10
3	7
4	10
3	7
1	6
1	6
1	7
1	6
1	6
2	6
2	7
3	6
2	11
2	8
2	12
2	8
3	8
2	9
2	11
2	12
3	10
3	11
4	16
3	12
3	11
5	12
1	9
1	5
1	6
2	6
1	6
1	6
2	6
2	6
2	5
1	6
1	6
1	7
1	8
1	8
1	6
1	6
1	6
3	6
1	6
3	9
1	6
1	7
3	6
2	4
1	6
1	7
2	10
2	6
2	5
2	6
1	6
2	6
2	6
1	6
1	6
1	6
3	6
1	6
2	8
1	6
3	6
2	6
1	6
1	6
3	6
3	9
2	7
1	6
2	6
2	6
1	6
1	5
1	5
1	5
1	6
1	5
1	5
1	5
2	5
2	8
2	8
2	7
3	7
4	11
4	8
3	10
2	7
2	9
2	7
1	8
1	6
1	9
2	10
5	10
4	11
3	12
4	12
3	13
3	7
3	9
2	10
